character,frequency,onyomi,kunyomi,jlpt,meaning,keyword,story1,story2
後,26,ゴ コウ,のち うし.ろ うしろ あと おく.れる,4,back; later,behind,"Column of walking legs (caterpillar) getting into a cocoon, about to leave its past self behind.","after a grub goes through the cocoon stage, it leaves its walking legs behind for a life of flight."
御,1087,ギョ ゴ,おん- お- み-,2,manipulate; govern,honorable,An honorable man will not try to cut in front of the line at the wholesale stamp store. (Imagine just how much honor it takes facing those long lines at the post office!),"In front of the COLUMNS of the Capitol, the HONORABLE congressmen can be bought WHOLESALE."
悟,1411,ゴ,さと.る,1,perceive; discern; realize; understand,enlightenment,Enlightenment is a state of mind that goes beyond the five senses.,"Data finds enlightenment when he discovers the answer to the question, ""Who am I?"". (Image: Data meditating in a sitting lotus position)."
梧,,ゴ,あおぎり,1,Chinese parasol tree; phoenix tree,,,
檎,,キン ゴン ゴ,,,,apple,"A flying fowl smashes into a tree and all the apples drop off. ""Eureka!"" shouts Newton, who happens to be watching.",Michael Jackson stands under an umbrella in case an apple falls way off the tree like he did.
瑚,,コ ゴ,,1,ancestral offering receptacle; coral,coral reef,The king had a coral reef installed in his lake.,"Under the light of the moon, the adventurers secretly dived for the old wreckage in the coral reef that would contain a fabled jewel."
碁,1609,ゴ,,1,,Go,Go is chess played with stones.,"The ignorant gaijin put a rook on top of his opponent's stone when playing Go, much to the consternation of the Japanese players."
語,301,ゴ,かた.る かた.らう,4,speech; language,word,The simplest word to say is I.,"Jesus said, ""I am the WORD."""
誤,1150,ゴ,あやま.る -あやま.る,2,err; do wrong; mislead,mistake,"It is a rookie mistake to believe the words when your sweetie says ""You don't have to give me anything for my birthday."" Trust me, your sweetie wants something, something shiny, and if you disappoint, you will suffer.",You must give words of apology when you make a mistake.
護,351,ゴ,まも.る,1,protect,safeguard,"Think of the flower-vessels as a the Greenpeace vessel “Arctic Sunrise”, only instead of a rainbow there is a big flower painted on the hull (this will come back in 獲 (#701) and 穫 (#908)). Think of “flower-power” and of the “peace” in “Greenpeace” and it will make some sense hopefully. -- In this kanji, we see an inauguration speech being given before the Greenpeace vessel is set afloat and sent to safeguard our planet.",Words and Flowers are exchanged between sailors and their wives before they board the vessel to safeguard the world.
醐,,ゴ コ,,,boiled butter,ghee,Drinking ghee out of a whiskey bottle is rather 胡 (#2537).,GHEE (clarified butter) if stored in a WHISKEY BOTTLE or some other air tight container will not get OLD and has a shelf life of many MONTHS at room temperature. http://en.wikipedia.org/wiki/Ghee.
乞,2478,コツ キツ キ キケ コチ,こ.う,,invite; ask,beg,"Lying down, Captain Hook is begging to be spared from the ticking crocodile.",Men beg lying down. Women beg as hookers.
鯉,2369,リ,こい,1,,carp,Japanese carp are massive fish - they are measured in ri!,"Robocarp!!! Part fish, part computer! Visualise him flapping and clanking down the street, with bullets richoting off his scaly armour."
交,178,コウ,まじ.わる まじ.える ま.じる まじ.る ま.ざる ま.ぜる -か.う か.わす かわ.す こもごも,2,mixing; association; coming & going,mingle,"Even though your FATHER is an old man, he can't give up his party lifestyle. Once a week he still dons his cool TOP HAT (well, it was cool 40 years ago) and goes out on the town to MINGLE with the ladies. This is a pretty common thing in Japan, where old motherfuckers still think they can pick up 19 year old girls.",My father puts on a top hat and tries to mingle.
佼,,キョウ コウ,こう.す うつく.しい,,beautiful; clever; deceive; sly,,,
侯,2363,コウ,,1,lord; daimyo,marquis,"Mr. T is made a marquis after he and the A-Team save the life of a duke. The duke also gives Mr. T the key to the gentleman's dart room where one can relax in luxury, smoke a cigar, and play a friendly game of darts. Mr. T eagerly accepts the key and places it on one of the gold chains that hang around his neck which acts as a key chain.",(Going off various) Mr. T. is made a marquis and given the key to the city. But somebody disagrees with it and assassinates him with a dart.
候,510,コウ,そうろう,2,season; weather; wait for; expect,climate,The marquis has absolutely no interest in issuses of climate change. He's old and near death. [Don't forget the walking stick to symbolize his old age.],The marquis moves to a warmer climate after he gets old enough to need a walking stick to get around.
倖,,コウ,しあわ.せ さいわ.い,1,happiness; luck,,,
光,527,コウ,ひか.る ひかり,3,light,ray,A ray of light is not a wave but made of little photons with human legs.,The ray from Honey I Shrunk the Kids made people little - ha! look at them run around on their tiny legs!
公,118,コウ ク,おおやけ,2,prince; official; governmental,public,I always open the doors to the public restrooms with my elbows because I don't want to touch the door with my hands.,I always enter the doors to the public restrooms with my elbows because I don't want to touch the door with my hands.
功,857,コウ ク,いさお,1,merits; success; honor; credit,achievement,"The great achievements of humankind, were crafts completed by muscle power: the pyramids, the Eiffel tower, etc.",All of Arnold Schwarzenegger's achievements started with him crafting his muscles.
効,538,コウ,き.く ききめ なら.う,2,efficacy; efficiency; benefit,merit,"Mingling with the powerful can bring you success, bypassing the need for any merit.",There is great merit in mingling with the powerful.
勾,,コウ ク,かぎ ま.がる,,be bent; slope; capture,hooked,Your elbow is bound up so that your biceps will stay flexed.,"In RTK1 Supplement as ""hooked."" A friend hooked someone literally, by binding them up with their hooked elbow."
厚,768,コウ,あつ.い あか,2,heavy; rich; kind; cordial; brazen; shameless,thick,The thick cliff walls protected the children from the sun.,"In Sparta we throw our Children over a Cliff. Under the Sun, they fight other Children. In the end, if they survive, they sure have thick skin."
口,284,コウ ク,くち,4,,mouth,Looks like a huge open mouth.,"When you sneeze, your MOUTH forms a square, and you make a noise that sounds like (KUCHI)."
向,182,コウ,む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ むか.い,2,facing; beyond; confront; defy; tend toward; approach,yonder,Look over yonder ! That tiny dot is robin hood at the mouth of his secret cave !,"The spaceman died screaming, his MOUTH wide open because someone has cut the oxygen cable from the HOOD/HELMET of his space suit. As his last DROPs of oxygen escaped into the vastness of space he thought to himself, So much for flying off into the wild blue YONDER."
后,1583,コウ ゴ,きさき,1,queen; after; behind; back; later,empress,"The empress is cruel. Normally she'll violently pull her servants by the ear when they've failed to follow orders. But one time she dragged this one guy around the palace by the mouth. She must have been really angry—ever since that moment, he's never been seen again.",The F word often comes out of the mouth of the empress.
喉,2390,コウ,のど,,voice,throat,"""If the marquis opens his mouth one more time, I'll cut his throat"", his rival the baron said.",The Marquis de Sade was kinda gay. He used to mouth down a lot of deep-throat action.
坑,2040,コウ,,1,hole,pit,A whirlwind digs a hole in the ground throwing out lots of dirt until it ends up with a giant pit.,Tazmanian Devil whirlwinds a pit into the soil. Note: Take care difference between pit and rut.
垢,,コウ ク,あか はじ,,dirt; grime; earwax,blemish,Big consternation in the court! A little bit of soil in the garden touched the empress' face and left a blemish there. Courtiers fainted left and right...,The empress gets a soil mask at the spa to treat a blemish.
好,423,コウ,この.む す.く よ.い い.い,3,pleasing; like something,fond,A woman is fond of her child.,Your wife and child: the thing you are most fond of.
孔,2052,コウ ク,あな,1,hole; slit; very; great; exceedingly,cavity,The child's arms flailed around at the sight of the hooked tool the dentist was going to use to fill his cavity.,"I warned him about cavities, but the child is still hooked on sweets."
孝,1030,コウ キョウ,,1,child's respect,filial piety,This child has taken filial piety to the next level. He is actually carrying the old man on his shoulders.,+dilandau23: This child has taken filial piety to the next level. He is actually carrying the old man on his shoulders. There is a picture of a statue depicting this here http://en.wikipedia.org/wiki/Filial_piety.
宏,1277,コウ,ひろ.い,1,wide; large,extensive,"During an extensive search of a murderer's house of horror, homocide detectives found an elbow body part by the side of another body. Surely there were even more victims than they imagined.","Thanks to Katsuo: BY ONE'S SIDE and ELBOW can be SUPERMAN (think of the George Reeve's SUPERMAN pose for a mental image). Well, that fortress of solitude is very EXTENSIVE. Would you expect SUPERMAN's HOUSE to anything less?"
工,299,コウ ク グ,,3,construction; katakana e radical (no. 48),craft,I consider craft to be one of the harder primitives to use in stories so I've personified it as Bender the crafty robot from Futurama who was designed to bend I-beams.,I crafty.
巧,1537,コウ,たく.み たく.む うま.い,1,skilled; ingenuity,adroit,"Adroit: dextrous, deft, skillful. Snare is a little generic so I'll use BEAR TRAP, with huge teeth cartoon style that snares you around the ankle. In the crafting of a bear trap, one must be particularly adroit. Otherwise they will become the victim of their down device.",To be adroit one must have mastered the crafting of snares.
巷,2415,コウ,ちまた,,fork in road; scene; arena; theater,,,
幸,786,コウ,さいわ.い さち しあわ.せ,2,blessing; fortune,happiness,happiness is the ONE bite of SPICY curry.,"This is one of those rare occasions when I forgo Heisig for other methods. 「幸せから一本取ると辛い」 -- if you take but one stroke away from happiness, you get painfulness. (oh well, Heisig used similar one for 百)."
広,263,コウ,ひろ.い ひろ.まる ひろ.める ひろ.がる ひろ.げる,3,broad; spacious,wide,The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.,"A wide cave has a lot of ""elbow room""."
庚,,コウ,かのえ,,7th; 7th calendar sign,,,
康,760,コウ,,2,ease; peace,sane,"A psychiatric hospital is located in a CAVE. To determine, which patients are sane and can be released, they are given a SIEVE and asked to empty a bathtub (the sane ones take out the plug and get the water out with ease).","People on the cave age became more sane after they started using sieves to avoid eating harmful things with their grains. (This kanji is almost exclusively used to write 健康, health)."
弘,1059,コウ グ,ひろ.い,1,broad; wide,vast,"If you pull the bow back with your elbow, you can shoot a vast distance.","The valley was so vast that if you yelled elbow! you could hear it echo bow, bow, bow."
恒,1314,コウ,つね つねに,1,always,constancy,Constancy is holding the same state of mind over a long span of time. (tweaking PepeSeco and mspertus).,"Data is the epitome of constancy. As a robot, his consistency spans the entire day."
慌,1826,コウ,あわ.てる あわ.ただしい,1,be confused; lose one's head,disconcerted,(re: wazzab) The state of mind of the people of New Orleans as they examined their city's concert hall laid waste can best described as disconcerted.,"When I am disconcerted my state of mind is ""laid to waste""."
抗,666,コウ,あらが.う,1,resist; defy; oppose,confront,"Gandalf confronts the evil beast, shouting ""you shall not pass!"". He holds up a single finger and sends forth a whirlwind.",The confrontation between the two sign-language people looked like a whirlwind of fingers.
拘,1336,コウ,かか.わる,1,seize; concerned; adhere to; despite,arrest,"You approach the thief from behind, stick your finger at his back to fake a gun, and say the phrase ""You're under arrest"".",Giving the police the finger and a colorful phrase is a surefire way to get arrested.
控,1000,コウ,ひか.える ひか.え,1,draw in; hold back; refrain from; be moderate,withdraw,"With my fingers, I punch in my bank code and withdraw some money from my account. And now it's empty again, as usual!","If you find yourself in a fight with a karate master with no weapons or martial art skills, just your empty fingers, you should withdraw because 空手 (karate=""empty hand"") is more powerful than 控 (=""empty fingers"")."
攻,532,コウ,せ.める,1,attack; criticize; polish,aggression,AGGRESSION is a well-honed craft for any decent taskmaster.,Aggression is the craft of a good dominatrix.
昂,,コウ ゴウ,あ.がる たか.い たか.ぶる,1,rise,elevate,Sending mail to the sun. It would take a whole box of stamps to elevate it that high.,A sunny day to a depressed person is just like a box of stamps to a stamp otaku: both have the ability to elevate spirits!
晃,1666,コウ,あきらか,1,clear,limpid,The sun's rays passed through to the very bottom of the limpid pond.,"If something is limpid (meaning clear, transparent, free of obscurity), then, by definition, the rays of the sun can shine down through it."
更,861,コウ,さら さら.に ふ.ける ふ.かす,2,night watch; sit up late; of course; renew; renovate; again; more and more; further,grow late,"It's starting to GROW LATE, so God will take the SUN, and TUCK IT UNDER HIS ARM, and walk away. In the morning, he'll bring it back, so don't worry.","At 旦 (#30) the sun rises above the floor, so it is logical that when it is growing late, the sun would rise to the ceiling. Time to pack up your things and take your belongings under your arm."
杭,2329,コウ,くい,,stake; post,picket,Use pickets to hold down the tree in times of whirlwind.,"After the whirlwind hit, the wooden pickets from his fence were scattered all over his yard."
校,294,コウ キョウ,,4,school; printing; proof; correction,exam,"The schools that accepted them were posted on a TREE, the students MINGLED around trying to find their names. (コオ）.",Note: this Kanji does not mean exam. It means school. I find this keyword an choice odd as school by itself is not used elsewhere. Examples: 校長 is principal (lit. school chief); 中学校 is junior high school (lit. middle study/knowledge school).
梗,,コウ キョウ,ふさぐ やまにれ おおむね,,for the most part; close up; flower stem,spiny,"I learned this one from the movie Evil Dead, but when it grows late, trees change shape and become spiny creatures! Lesson: don't go out at night.",Usually the tree you bump into when it grows late happens to be spiny.
構,316,コウ,かま.える かま.う,2,stance; appearance; build; set up,posture,"Trees with good posture look like funnels. For example, http://static.flickr.com/53/118084202_8896e54a14_m.jpg.",A farm girl uses a wooden funnel as a corset to improve her posture.
江,704,コウ,え,1,inlet; bay,creek,A CREEK is a small trail of water easily crafted with a stick.,"Creeks are small water, easily crossed with a simple i-beam."
洪,1778,コウ,,1,flood; vast,deluge,Water plus Noah's Ark equals deluge.,Lots of water coming together is called a deluge.
浩,1149,コウ,おおき.い ひろ.い,1,wide expanse; abundance; vigorous,abounding,"According to the book of revelations, abounding waters will be the first sign of the apocalypse!","If WATER was able to give a REVELATION of all it's seen, it would be ABOUNDING in all kinds of stories."
港,495,コウ,みなと,2,,harbor,"During a deluge, all the poor snakes get washed into the harbour.","All throughout the deluge Noah had been kicking himself for forgetting to bring any snakes onto the Ark. It wasn't until the deluge had finished, and Noah had brought the Ark safely back to the harbour that he realised that the snakes had been under the Ark all along."
溝,1736,コウ,みぞ,1,ditch; sewer; drain; 10**32,gutter,A gutter funnels water.,A gutter takes the water that falls as rain and funnels it off to where it can be dealt with appropriately.
甲,1073,コウ カン,きのえ,1,high (voice); A grade; first class; former; instep; carapace,armor,"Funny.. this appeared to me as a pictograph of a samurai's armor. Then I looked up images of the samurai armor and it is not even remotely similar. Then I realised it looks in fact like the belly of the Teenage Mutant Ninja Turtles, which I somehow associated with the samurai armor because of the ""turtle samurai"" that appeared earlier. Fits me. The bit that pokes down is to protect the genitals, I guess.",It looks like a bird's eye view of a tank (modern armor).
皇,721,コウ オウ,,1,,emperor,"Ancient Rome had Emperors instead of Kings, and they wore white robes. Thus an emperor is a king in white. (make sure you picture a roman emperor not a japanese one and you'll be ok).",I don't think the Japanese would be happy if their emperor was a white king...
硬,1101,コウ,かた.い,2,hard,stiff,A stiff drink on the ROCKs after it GROWS LATE is a way to unwind after a long day...,"Stones are so stiff that even if you spent all day straining trying to change their shape, it would grow late far before you ever accomplished your task."
稿,1400,コウ,わら したがき,1,copy; manuscript; straw,draft,Aliens often draft their plans for invasion by cutting designs among the tall wheat.,"The first DRAFT of catcher in the rye was actually called ""catcher in the TALL WHEAT""...good thing they changed it. I read it in 高校."
糠,,コウ,ぬか,,,rice bran,Rice bran is for old people: its benefits to sanity in additional to being delicious rice make it an instant sell.,"""Good for the bowels and good for the brain, rice bran'll keep you sane."""
紅,1299,コウ ク,べに くれない あか.い,2,deep red,crimson,Spiderman crafted a crimson costume to fight crime in.,"After Spider-Man is whacked in the head with a I-beam, crimson blood flows from the wound."
紘,1685,コウ,おおづな つな つなぐ,1,large,chinstrap,Spider-Man poses with his hands on his hips to convey being larger than life.,"Spiderman grows a chinstrap beard, and his friends elbow him in the side, guffawing and saying ""hey, nice beard, Pete."" http://www.ftmguide.org/images/chinstrap.gif 八紘一宇　はっこういちう."
絞,1288,コウ,しぼ.る し.める し.まる,1,constrict; wring,strangle,Spiderman hates going to parties and having to mingle. He wants to strangle someone after just a little small talk.,"Darth Vader, who was mingling among the crowd with his hat, is spotted by Spiderman. Spiderman jumps at him to teach the villain for coming to New York. Darth Vader catches him in mid air and strangles him with the force..."
綱,1053,コウ,つな,1,class (genus); rope; cord; cable,hawser,Spiderman saves Japan from floating away by tying Mt. Fuji to mainland Asia using a hawser made of web.,A sturdy thread is equally obviously hawser (heavy rope). (see previous frame).
耕,1568,コウ,たがや.す,2,plow; cultivate,till,"If you just grow your christmas tree in a well, there will be no need to till the soil.","A man was tilling a new plot to plant xmas trees but his tractor hit an old covered-up well and fell halfway in, he's asking for a new tractor for xmas.."
考,196,コウ,かんが.える かんが.え,3,think over,consider,"Before shooting an old man with a slingshot, one shold carefully consider the possible consequences.","Even though he had the old man Mr. Wilson within the sights of his slingshot, Dennis the Menace considered what he was doing and stopped."
肯,1813,コウ,がえんじ.る,2,consent; comply with,agreement,A secret agreement between a covert gov't agency and aliens states that we will not step foot on the moon again in return for alien technology.,The peace agreement put a stop on the fighting for a month.
肱,,コウ,かいな ひじ まるい,,ability; talent; elbow; arm,armrest,An armrest is something that lets you rest the flesh of your arm by keeping your elbow by your side.,"The primitive on the left I call the ""SUPERMAN POSE"" (he stand with his elbows to the side), well here you see he is actually using the part of his BODY, the hips, as an ARMREST when he does the SUPERMAN POSE."
腔,,コウ,,,,body cavity,A body cavity is an empty space within your flesh.,"During a body cavity search, the police check certain parts of your body to make sure they're empty of things like cocaine, etc.."
膏,,コウ,あぶら,,fat; grease; lard; paste; plaster,ointment,Your body parts will become tall if you apply a special ointment.,I need a tall outhouse so that I can stretch out while rubbing the ointment all over my body.
航,665,コウ,,2,sail; cruise; fly,navigate,"To navigate a ""boat"" through a ""whirlwind"" takes a skilled navigator.","In Legend of Zelda: The Wind Waker, you can navigate your boat by summoning whirlwinds."
荒,1099,コウ,あ.らす あ.れる あら.い すさ.ぶ すさ.む あ.らし,2,rough; rude; wild,laid waste,"After Godzilla laid waste to the city, the survivors put some flowers on the bodies of the deceased and floated their bodies down the stream.","Laying waste is just a euphamism for flushing poop down the toilet. It smells nothing like flowers, more like deceased flowers, and it's flushed down into a stream of sewage. Use ""waste"" to avoid 滅 (#390) 壊 (#427)."
行,20,コウ ギョウ アン,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う おこ.なう,4,journey; carry out; conduct; act; line; row; bank,going,"To me, this looks like a bridge going over a body of water, being supported by columns underneath it. Being that I live near the ocean, I see tourists and vacationers coming and going constantly on the bridge. Because the bridge is so long, it forms an arc to support the structural integrity. You can see that arc here.",I use The Flash for for this primitive; a superhero who is always going very fast.
衡,1847,コウ,,1,measuring rod; scale,equilibrium,"To maintain the social equilibrium in a future dystopian society, the brains of citizens are bound up (hypnotized). The government is using mental wave emitting statues shaped like St. Bernard's dogs put alongside the boulevards.","I think BALANCE is an easier keyword. I was walking down a busy French boulevard when between the rushing traffic I saw the wierdest thing. BALANCING on the central crash barrier was a St. Bernard dog, BALANCING a fish on its nose. As I looked closer, I realised it was a trick; it was holding the fish's tail in its teeth, and only pretending to BALANCE it. (keeps the position of the elements!)"
講,653,コウ,,2,club; association,lecture,"I have a funnel attached to my laptop that takes my prof's lecture and puts the words into a text file. The bigger the funnel, the more accurate the conversion, so picture a bunch of laptops with large, unwieldy funnels attached to the USB port.","Image: a professor walking around with a funnel and simply pouring his words into each students head instead of a lecture. (Primitive: FUNNEL, who got the celery stuck in the funnel again?! You know it's not supposed to be used for that!)"
貢,956,コウ ク,みつ.ぐ,1,support; finance,tribute,"""This next song is a TRIBUTE to a little SHELLFISH friend of mine who was tragically crushed by an I-shaped table.""",Tribute is the craft of raising money.
購,945,コウ,,1,buy,subscription,"Subscription is like a money funnel, because the receiving end is small (just one company) and the other end is wide (the whole country).",My subscription to Money magazine came with a free coin funnel.
郊,1304,コウ,,2,suburbs; rural area,outskirts,"The country folk and and the city folk mingle at the outskirts of town, just past the city walls.","The city walls mark the outskirts of the inner city, where it begins to mingle with the suburbs."
酵,1862,コウ,,1,,fermentation,The secrets of fermentation are passed to the son who displays the most filial piety.,"Since filial piety is all about respecting ones elders, and the older a whiskey bottle is (i.e. the time it have spent undergoing fermentation) the more respect you should give it, the meaning of this kanji becomes clear. If it doesn't, sink back some whiskey and it will."
鉱,1376,コウ,あらがね,2,ore,mineral,Elbonium: a new mineral found in wide caves shaped like elbows and made of metal.,There's a really wide cave in Africa which is used as a mineral sample house. It has all sorts of metals in it which is why it is used that way. Picture all the widened stretched out tables which have been set up to display the various metals and other minerals.
砿,,コウ,あらがね,,ore,,,
鋼,1246,コウ,はがね,1,,steel,Mount Fuji is completely made up of a metal known as steel.,Sturdy metal is obviously steel (see previous frame).
閤,,コウ,くぐりど,,small side gate,side gate,"If you can't fit through the gates due to your size, try the side gate.","太閤　たいこう　This refers to Toyotomi Hideyoshi, an important Japanese historical figure who ruled Japan for awhile. His secret to surviving in the warring states period was to always have a side gate for a quick escape. He built this gate so only he would fit through, and anyone chasing him couldn't follow."
降,596,コウ ゴ,お.りる お.ろす ふ.る ふ.り くだ.る くだ.す,2,precipitate; fall; surrender,descend,"""Sunglasses-missing-one-lens"" is obviously the monocle. The proper, high-class way to descend The Pinnacle is wearing a monocle with your walking legs splayed to a full gentlemanly stride.","After a cool, hip businessman angered the executives at The Pinnacle, they beat him up, popping out a lens from his sunglasses, and tossed out the window, head first, walking legs second. One executive later commented, ""It was like he was descending into Hell from Heaven!"""
項,884,コウ,うなじ,1,nape of neck; clause; item; term (expression),paragraph,To write a paragraph is the craft of grouping sentences on a page.,"To craft a page well, we need paragraphs."
香,859,コウ キョウ,か かお.り かお.る,2,smell; perfume,incense,"If you focus the suns though a magnifying glass on to the bottom of a stalk of wheat it will start to smoulder and burn like a stick of incense. The weird thing is that it burns from the bottom upwards, hanging in the air as if my magic. Try it and see!",When the sun burns the wheat a smell of incense remains in the air.
高,65,コウ,たか.い たか -だか たか.まる たか.める,4,high; expensive,tall,"Two little aliens in a trenchcoat and top hat, trying to look TALL. The bottom one, in the glass helmet, is under the coat. The top one has his top hat pulled down in disguise, so all you can see is his mouth.",Here we have TWO MOUTHS each wearing a different hat. The top one is wearing a TOP HAT which is know to be as a TALL hat. The bottom one is wearing a SPACE HELMET which is known as an EXPENSIVE hat. (this kanji means both).
鴻,2111,コウ ゴウ,おおとり ひしくい おおがり,1,large bird; wild goose; large; great; powerful; prosperous,large goose,A bird often found near creeks is the large goose.,"This is a large goose that has flown into a craft area - aka a construction site. It flies in and sits in a small pond of water and makes itself at home. The construction workers are about to get rid of it when they notice that it makes some really, really terrible honking noises - as a matter of fact, those noises sound just like construction work. They realize that if they keep the large goose around, they can take breaks without their boss realizing!"
剛,1576,ゴウ,,1,strength,sturdy,"Mount everest is very sturdy, you can hit it all day with a saber and it wont even wobble.","Anything sturdy in Japan is associated with Mount Fuji. Perhaps this is because it's symmetry is believed to make it rather sturdy itself, unlike all those crooked mountains that are around and tend to fall apart (think rock slides, avalanches, etc.). Here we see Sturdy-brand sabers with Mount Fuji engraved on the blade."
劫,,コウ ゴウ キョウ,おびや.かす,,threat; long ages,kalpa,"kalpa is a Sanskrit word for a long period of time, sort of like ""aeon."" Once a kalpa has gone (passed), there will be no more fossil fuels for power.","When a kalpa passes, all forms of power we see today will be gone."
号,585,ゴウ,さけ.ぶ よびな,2,number; item; title; pseudonym; name; call,nickname,"My nickname is ""No Lips"". Yep, I shouldn't have put my mouth on that bear trap...","When certain nickname snares to people's mouths, they will call you that way forever."
合,41,ゴウ ガッ カッ,あ.う -あ.う あ.い あい- -あ.い -あい あ.わす あ.わせる -あ.わせる,3,suit; join; 0.1,fit,"I wouldn't mind a meeting of mouths with her, she's really fit !",He had such a big mouth that he could easily fit one whole umbrella in it.
壕,2273,コウ ゴウ,ほり,,trench; air raid shelter,dugout,A DUGOUT is a dry moat found around Japanese castles. The SOIL is arranged so as to OVERPOWER (or give the advantage to OVERPOWER) an attacking army. If dug in a low lying area it fills with water and becomes a moat (濠 濠 (#2400)).,"As they constructed the visiting team dugout, they removed a quantity of soil when there was an overpowering stench. Nobody will want to use this dugout!"
拷,2057,ゴウ,,1,beat,torture,"In Torture 101 class they teach you to Consider the Fingers as the first part to inflict pain to. Then you can move on to other parts (like feet, groin, head, etc. etc. ; ) ).","""Aaaargh, stop!"" cries the victim of torture, his fingers being squeezed by the thumb screws. ""I'll consider it,"" the torturer says coolly, ""if you tell me the names of all the agents in your organization."""
濠,,ゴウ コウ,ほり,,ditch; canal; Australia,moat,A moat is a water structure used against something potentially overpowering.,"Australia was designed as a moat, surrounded by water, to keep out the overpowering forces of foreign nations."
豪,1104,ゴウ,えら.い,1,great; powerful; excelling; Australia,overpowering,"In Orwell's 'Animal Farm' the pigs overpowered every other animals. They crownded themselves as ruler of the farm and walked tall on their rear legs, a crime strictly forbidden in the animal republic.","Ganon, the tall crowned pig, has been overpowering ther land of Hyrule for decades."
轟,2438,ゴウ コウ,とどろ.かす とどろ.く,,roar; thunder; boom resound,rumble,Many cars rumble through the streets as the bousouzoku ride through.,"When you get three cars going at once at a monster truck rally, you can feel the ground rumble."
麹,1988,キク,こうじ,,yeast,malt,Malt made from barley is often bound up with rice for brewing.,"This means kouji mould, so I think malt is a poor keyword. Sake, shochu and other East Asian spirits use this mould in place of yeast, which is used to make most other alcoholic spirits in the world. Mould and yeast are two different types of fungus. Yeast might have been a better keyword, as it is the organism doing the fermenting. Story: Kouji mould is grown on rice specially bound up to form a starter culture. To make mugishochu, the starter culture is added to a barley mash."
克,1333,コク,か.つ,1,kindly; skillfully,overcome,Ten elder brothers can overcome anything.,A teenager addicted to heroine must overcome the needle.
刻,866,コク,きざ.む きざ.み,2,cut fine; chop; hash; mince; time; carving,engrave,"This famous ninja (I always use ninjas with sabres, distinct from samurai) used to engrave the kanji for his name onto acorns, and throw the acorns to distract his enemies. The legend goes that by the time his victims would pick up the acorn and read the engraved kanji, they were already dead.","While it's traditional for lovers to engrave their names on a tree in many countries, in Japan, however, it was traditional for a samurai to signify his undying love for a woman by engraving the kanji of her name on an acorn with his sabre."
告,188,コク,つ.げる,2,tell; inform; announce,revelation,"The revelation makes the cow's mouth drop down, ""Hamburgers are made of what?!""","In ancient times, the words from a primitive cow's mouth were considered a REVELATION because they were the ""udder truth."""
国,3,コク,くに,4,,country,In my country (England) the crown jewels are kept pent-in in the Tower of London. Which happens to be where enemies of the state were once also pent-in (probably for trying to steal those jewels).,"Just think of Japan, a country which is like a jewel but historically very enclosed."
穀,1744,コク,,1,grain,cereals,There are different cereals in different parts of the world. Japan has samurai cereal. Great Britain has Crowned Wheat ... the United States and Russia have Missile cereals.,"The samurai crowns wheat as the best cereal, and blows all others up with missiles (he's a cereal killer)."
酷,1596,コク,ひど.い,1,severe; atrocious; unjust,cruel,It's cruel to pour alcohol down a cow's mouth.,Offering whiskey to people to encourage them to make revelations is cruel.
鵠,2292,コク コウ,くぐい まと,,swan,,,
黒,573,コク,くろ くろ.ずむ くろ.い,3,,black,"If you burn the GROUND of a RICE FIELD with FIRE, eventually it will turn black.","If your parent's home catches on fire, it will turn black."
獄,1529,ゴク,,1,jail,prison,The wild dog family visits their cousin in prison. They exchange words over the interphone at the visiting booth.,The only thing keeping the new chihuahua inmate from being 'initiated' by the pack of wild dogs were his quick words in prison.
漉,,ロク,こ.し こ.す す.く,,manufacture paper; spread out thin; strain; percolate,filter,"I filter my water using a deer. Sure I'm a naturalist, but you know what? The filtered yellow ""water"" tastes MUCH better!","When you go out into the wilderness, you shouldn't drink fresh water no matter how clean and clear it looks. A deer could have just crapped in it a mile upstream. Lesson: Bring some kind of filter to filter your drinking water."
腰,1306,ヨウ,こし,2,hips; waist; low wainscoting,loins,"If you want to get closer to the actual meaning, then I think that 腰(こし) is more like the hips or the small of the back. After being sat down in the office too long, people often say 腰がいたい！It's the part of the body that needs massaging.","To the puritans reading this site - please stop reporting stories that have anything to do with sex! Although (as wrightak said) this kanji really refers to the hips, Heisig clearly chose the keyword 'loins' because it was anatomically close enough, and the primitives lent themselves to an easy-to-remember story. Just because you're all sexually repressed doesn't mean other people won't benefit from a story such as ""the part of the body people need more than any other are the loins""."
甑,,ソウ ショウ,こしき,,rice-steaming pot,,,
忽,,コツ,たちま.ち ゆるが.せ,,in a moment; instantly; all of a sudden; neglect; disregard,instantaneously,His heart got tied in a knot and he died instantaneously.,"Instead of Blood Clot, think of Blood KNOT, where if you get a Blood KNOT that goes to your HEART, you will die INSTANTANEOUSLY."
惚,2486,コツ,ほけ.る ぼ.ける ほ.れる,,fall in love with; admire; grow senile,infatuation,Infatuation is the state of mind that makes a knot form in your heart.,Infatuation is the state of mind when you 忽 (#2431) fall in love.
